iter	Logloss
0	0.6920320882
1	0.6900923039
2	0.6882820649
3	0.6869270688
4	0.6847707283
5	0.6824778627
6	0.6803995606
7	0.6780694493
8	0.6765783965
9	0.6748966968
10	0.6736466823
11	0.672659174
12	0.6712743988
13	0.6691676562
14	0.6680262687
15	0.6660159052
16	0.664800162
17	0.6635282791
18	0.6618987349
19	0.6605828347
20	0.6592864064
21	0.6576248657
22	0.6567704441
23	0.6558306724
24	0.6548875876
25	0.6535191521
26	0.6527398918
27	0.6510197618
28	0.6505062042
29	0.6495109386
30	0.6480316388
31	0.6472014642
32	0.6460072996
33	0.6443936922
34	0.643169658
35	0.642213364
36	0.6408330396
37	0.6393008644
38	0.6379974272
39	0.6369303647
40	0.6357919287
41	0.6343086897
42	0.6329947706
43	0.6317982749
44	0.630688605
45	0.6281575118
46	0.627096287
47	0.6262615977
48	0.6248299716
49	0.6232989504
50	0.6223160442
51	0.6216249231
52	0.6210424488
53	0.6189685607
54	0.6173626068
55	0.6164304901
56	0.6152004649
57	0.6135945595
58	0.6125829744
59	0.6110152087
60	0.6103998622
61	0.6091531913
62	0.6082934035
63	0.607432171
64	0.6063612894
65	0.605605108
66	0.6047022201
67	0.6039581044
68	0.6027996313
69	0.602088708
70	0.6013269128
71	0.6002003113
72	0.5996146327
73	0.5985883724
74	0.5980303084
75	0.5974609397
76	0.5967245634
77	0.5955867668
78	0.5941578507
79	0.5928819656
80	0.5923889036
81	0.5915342452
82	0.5900406048
83	0.5887272382
84	0.5872381685
85	0.5865755889
86	0.5853645381
87	0.5846201376
88	0.5837072558
89	0.5826033585
90	0.5817933582
91	0.5808570109
92	0.5802013066
93	0.5789106558
94	0.5782991257
95	0.5775027436
96	0.5766442988
97	0.5756898912
98	0.5748054423
99	0.5735845612
100	0.5730444193
101	0.5720305154
102	0.5709792961
103	0.5697778732
104	0.5691093375
105	0.5676659769
106	0.5671475961
107	0.5658244141
108	0.5651128613
109	0.563632426
110	0.5631986956
111	0.5621765869
112	0.5614238831
113	0.5606348185
114	0.5600749173
115	0.5593883788
116	0.5581294973
117	0.5565100981
118	0.5556947075
119	0.5551830663
120	0.5543856737
121	0.5537632383
122	0.5531219781
123	0.5526688925
124	0.5519950076
125	0.5512366554
126	0.550655209
127	0.5501651918
128	0.5494873327
129	0.5485032134
130	0.547553885
131	0.5471017428
132	0.5468162056
133	0.546542498
134	0.5455003659
135	0.5443489281
136	0.5435391922
137	0.5427241931
138	0.5418644326
139	0.5412634312
140	0.5403495881
141	0.538890889
142	0.5383332834
143	0.5372117874
144	0.5369103036
145	0.5358417966
146	0.5351360015
147	0.5344937242
148	0.5335885992
149	0.5325413875
150	0.532093893
151	0.5309265784
152	0.5302868445
153	0.5291560447
154	0.5281123117
155	0.5272868739
156	0.5262753176
157	0.5254298311
158	0.5249042603
159	0.5244050023
160	0.523297877
161	0.5226994274
162	0.521336042
163	0.5202361147
164	0.5199532091
165	0.5191374976
166	0.5181089908
167	0.5172862472
168	0.5165177228
169	0.515903571
170	0.514817059
171	0.5140809323
172	0.5133404625
173	0.5122556978
174	0.5118334246
175	0.5113738487
176	0.5109257093
177	0.5099834945
178	0.5093090805
179	0.50824074
180	0.5075484219
181	0.5060973877
182	0.5055518831
183	0.5052140884
184	0.5046160095
185	0.50404103
186	0.5034208484
187	0.5028287744
188	0.5023622433
189	0.5016680851
190	0.5006373197
191	0.5000638786
192	0.4996054172
193	0.4986632368
194	0.4975403871
195	0.4965661525
196	0.4952061239
197	0.4945775191
198	0.4940768465
199	0.4929635945
