Model,accuracy,precision,recall,f1_score,auc_score,brier_score,conformal_coverage,avg_set_size
XGBoost,0.385,0.4,0.48484848484848486,0.4383561643835616,0.36673667366736673,0.5603532064638206,,
XGBoost (With MAPIE),0.385,0.4,0.48484848484848486,0.4383561643835616,0.36673667366736673,0.5603532064638206,0.905,1.85
Random Forest,0.365,0.38524590163934425,0.47474747474747475,0.4253393665158371,0.3580858085808581,0.41249749999999996,,
Random Forest (With MAPIE),0.365,0.38524590163934425,0.47474747474747475,0.4253393665158371,0.3580858085808581,0.41249749999999996,0.92,1.855
Logistic Regression,0.405,0.4253731343283582,0.5757575757575758,0.4892703862660944,0.3134313431343135,0.5189235270555993,,
Logistic Regression (With MAPIE),0.405,0.4253731343283582,0.5757575757575758,0.4892703862660944,0.3134313431343135,0.5189235270555993,0.905,1.895
